RequirementID,ScenarioID,TestCaseID,AutomationStatus,JiraKey
REQ-PATIENTS-1,SCN-PAT-CORE-01,TC-PATIENTS-NEG-001,Passed,
REQ-PATIENTS-1,SCN-PAT-CORE-01,TC-PATIENTS-NEG-002,Passed,
REQ-PATIENTS-1,SCN-PAT-CORE-01,TC-PATIENTS-NEG-003,Passed,
REQ-PATIENTS-1,SCN-PAT-CORE-01,TC-PATIENTS-POS-001,Passed,
REQ-DOCTORS-1,SCN-DOC-CORE-01,TC-DOCTORS-NEG-001,Passed,
REQ-DOCTORS-1,SCN-DOC-CORE-01,TC-DOCTORS-NEG-002,Failed,KAN-51
REQ-DOCTORS-1,SCN-DOC-CORE-01,TC-DOCTORS-NEG-003,Passed,
REQ-DOCTORS-1,SCN-DOC-CORE-01,TC-DOCTORS-POS-001,Passed,
REQ-APPOINTMENTS-1,SCN-APT-ALT-01,TC-APPOINTMENTS-NEG-001,Passed,
REQ-APPOINTMENTS-1,SCN-APT-ALT-01,TC-APPOINTMENTS-NEG-002,Passed,
REQ-APPOINTMENTS-1,SCN-APT-ALT-01,TC-APPOINTMENTS-NEG-003,Passed,
REQ-APPOINTMENTS-1,SCN-APT-ALT-01,TC-APPOINTMENTS-POS-001,Passed,
REQ-PRESCRIPTIONS-1,SCN-RX-CORE-01,TC-PRESCRIPTIONS-NEG-001,Passed,
REQ-PRESCRIPTIONS-1,SCN-RX-CORE-01,TC-PRESCRIPTIONS-NEG-002,Failed,KAN-49
REQ-PRESCRIPTIONS-1,SCN-RX-CORE-01,TC-PRESCRIPTIONS-NEG-003,Passed,
REQ-PRESCRIPTIONS-1,SCN-RX-CORE-01,TC-PRESCRIPTIONS-POS-001,Passed,
REQ-LABREPORTS-1,SCN-LAB-ALT-01,TC-LABREPORTS-NEG-001,Passed,
REQ-LABREPORTS-1,SCN-LAB-ALT-01,TC-LABREPORTS-NEG-002,Passed,
REQ-LABREPORTS-1,SCN-LAB-ALT-01,TC-LABREPORTS-NEG-003,Passed,
REQ-LABREPORTS-1,SCN-LAB-ALT-01,TC-LABREPORTS-POS-001,Passed,
REQ-IPD-1,SCN-IPD-CORE-01,TC-IPDDETAILS-NEG-001,Passed,
REQ-IPD-1,SCN-IPD-CORE-01,TC-IPDDETAILS-NEG-002,Passed,
REQ-IPD-1,SCN-IPD-CORE-01,TC-IPDDETAILS-NEG-003,Passed,
REQ-IPD-1,SCN-IPD-CORE-01,TC-IPDDETAILS-POS-001,Passed,
REQ-BILLING-1,SCN-BIL-ALT-01,TC-BILLING-NEG-001,Passed,
REQ-BILLING-1,SCN-BIL-ALT-01,TC-BILLING-NEG-002,Failed,KAN-50
REQ-BILLING-1,SCN-BIL-ALT-01,TC-BILLING-NEG-003,Passed,
REQ-BILLING-1,SCN-BIL-ALT-01,TC-BILLING-POS-001,Passed,
REQ-WARD-1,SCN-WARD-CORE-01,TC-WARDMANAGEMENT-NEG-001,Passed,
REQ-WARD-1,SCN-WARD-CORE-01,TC-WARDMANAGEMENT-NEG-002,Passed,
REQ-WARD-1,SCN-WARD-CORE-01,TC-WARDMANAGEMENT-NEG-003,Passed,
REQ-WARD-1,SCN-WARD-CORE-01,TC-WARDMANAGEMENT-POS-001,Passed,
REQ-BED-1,SCN-BED-ALT-01,TC-BEDMANAGEMENT-NEG-001,Passed,
REQ-BED-1,SCN-BED-ALT-01,TC-BEDMANAGEMENT-NEG-002,Passed,
REQ-BED-1,SCN-BED-ALT-01,TC-BEDMANAGEMENT-NEG-003,Passed,
REQ-BED-1,SCN-BED-ALT-01,TC-BEDMANAGEMENT-POS-001,Passed,
